id;color;price;quantity;sizes;unit_price;order_id;product_id
1;sky blue;31586;17805;multi-tasking invoice;55938;89904;27302
2;green;52580;89570;copy;98449;20203;28164
3;orange;58083;43063;Pennsylvania;13455;57173;14008
4;pink;49783;94142;New Profit-focused Texas;86338;80964;37349
5;olive;29392;54478;Tanzania Chicken;8776;1742;15118
6;magenta;50209;530;Home digital orange;46868;83218;95656
7;teal;13686;40693;Rand Analyst ivory;10145;79642;60521
8;cyan;1471;57387;Greens;70790;88129;86950
9;tan;83611;92161;Sports Switchable magenta;25473;45429;2075
10;white;13821;88238;Điển;41772;10601;99804
