id;delivered_date;note;order_date;order_status;total_price;customer_id
1;2023-02-13;cyan Sports Oregon;2023-02-13;Mouse;22084;7751
2;2023-02-12;Communications Wooden;2023-02-13;Music haptic Viaduct;51558;92770
3;2023-02-13;empowering;2023-02-12;Account Money Cheese;72165;86071
4;2023-02-13;Peso;2023-02-13;navigating Customer;57226;43711
5;2023-02-13;Pants Intelligent Profit-focused;2023-02-12;synergistic;24774;40537
6;2023-02-13;National Borders;2023-02-12;withdrawal digital;59659;10745
7;2023-02-12;Loan hub;2023-02-13;Cambridgeshire Cambridgeshire;67244;26871
8;2023-02-13;withdrawal Internal Divide;2023-02-13;driver Unbranded;73085;41779
9;2023-02-13;mobile;2023-02-12;Đạo protocol;45379;63652
10;2023-02-13;Berkshire;2023-02-12;Persistent Mouse Advanced;55654;2500
