id;description;name;price;status;category_id
1;Open-architected Savings;paradigms;23949;Pants redundant Intranet;56675
2;redundant e-services Self-enabling;Paradigm Corporate;68636;quantifying;83998
3;UIC-Franc IB;convergence visualize;7183;Arkansas;23046
4;SMTP Metal Towels;Metrics;65917;indexing Intuitive Rubber;78226
5;Metrics frame;Legacy Sausages synergistic;31613;Sports;33036
6;integrated;modular Shoes;21994;SQL;72559
7;payment;even-keeled alarm;65873;Liaison intermediate Gardens;21854
8;Florida;encompassing invoice payment;62373;Accountability;96227
9;infomediaries;foreground Central;47705;generating Incredible Intelligent;95302
10;Account Grenadines;best-of-breed wireless;83269;value-added HTTP Markets;26937
